Codigo Ditrator,Codigo Casa Dos Rolamentos,Codigo Romar Mann,Codigo Indagril,Codigo Primus,Codigo Agromann,Codigo Tidy,Nome Fantasia,Razão Social,Rota,Cidade,Estado,Empresas Trabalhadas
,10014,677,,,,10222,,AGROMAXION COMERCIO DE PECAS AGRICOLAS LTDA - ME,Rota B - Litoral Norte,Gaspar,SC,Casa Dos Rolamentos - Romar Mann - Indagril - Primus
1523601,,4696,2131,,,10248,,AGROMEC SERVICE ASSISTENCIA AGRICOLA E VETERINARIA EIRELI,Rota 2 - São Miguel,São Miguel do Oeste,SC,Ditrator - Romar Mann - Indagril
,,,2567,,,10343,,AGRONADAL COLHEITAS AGRICOLAS EIRE (CNPJ 2),Rota 3 - São Lourenço,Anchieta,SC,Indagril
,,,2887,,,10343,,AGRONADAL PEÇAS PARA VEÍCULOS LTDA,Rota 3 - São Lourenço,Anchieta,SC,Indagril
362402,10015,,,,,10090,,AGRONOMICA NEGOCIOS RURAIS LTDA - Marmeleiro,Rota 4 - Parana 1,Marmeleiro,PR,Ditrator - Casa Dos Rolamentos - Primus
362403,,,,,,10389,,AGRONOMICA NEGOCIOS RURAIS LTDA - Pinhalzinho,Rota 2 - São Miguel,Pinhalzinho,SC,Ditrator - Casa Dos Rolamentos - Primus
362401,,,,,,10413,,AGRONOMICA NEGOCIOS RURAIS LTDA - São Lourenço Do Oeste,Rota 3 - São Lourenço,São Lourenço do Oeste,SC,Ditrator - Casa Dos Rolamentos - Primus
362404,,,,,,10654,,AGRONOMICA NEGOCIOS RURAIS LTDA - Xanxerê,Rota A - Oeste,Xanxerê,SC,Ditrator - Casa Dos Rolamentos - Primus
1567301,,,3813,,,11728,,AGROPECAS COMERCIO DE PECAS E IMPLE,Rota A - Oeste,Xanxerê,SC,Indagril
771101,,,,,,10508,,AGROPECUARIA DOIS VIZINHOS LTDA,Rota 5 - Parana 2,Dois Vizinhos,PR,Ditrator
,,,,,,11031,,AGROPECUARIA OURO COM E REPREST,Rota A - Oeste,Ouro,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11032,,AGROPECUARIA PEDRON,Rota A - Oeste,Zortéa,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
1535301,,,,,,11747,,AGROPECUARIA SAO MATEUS LTDA,,Salto do Itararé,PR,
,,,,,,11033,,AGROPEL AGROINDUSTRIAL PERAZZOLI,Rota A - Oeste,Fraiburgo,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,1236,,,10292,,AGROPRIMAVERA COMERCIO DE CERE,Rota 3 - São Lourenço,Campo Erê,SC,Indagril
842901,10016,,,,,10022,,AGROSOLO MAQUINAS LTDA,Rota 5 - Parana 2,Chopinzinho,PR,Ditrator - Casa Dos Rolamentos
,10017,3977,1808,,,10241,,AGROSUL MAQUINAS E EQUIPAMENTOS LTDA,Rota B - Litoral Norte,Ituporanga,SC,Casa Dos Rolamentos - Romar Mann - Indagril
510601,10018,,,,,10012,,AGROTEXAS COMERCIO E TRANSPORTES DE MAQUINAS E IMPLEMENTOS AGRICOLAS EIRELI,Rota 5 - Parana 2,Vitorino,PR,Ditrator - Casa Dos Rolamentos - Primus
,,,,,,11034,,AGROVALE AGROPECUARIA ALTO VALE,Rota C - Litoral Sul,Urubici,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,4063,,,,10231,,AGROWERNER COMERCIO DE MAQUINAS E IMPLEMENTOS AGRICOLAS LTDA,Rota C - Litoral Sul,Braco Do Norte,SC,Romar Mann
,,,3107,,,10361,,AGRÍCOLA HILLESHEIM,Rota 2 - São Miguel,São Miguel do Oeste,SC,Indagril
,10019,,,,,10836,,AGUIA BRANCA COMERCIO DE EQUIPAMENTOS LTDA - EPP,Rota 1 - Itapiranga,Itapiranga,SC,Casa Dos Rolamentos
,10020,,,,,10783,,AH COMERCIO DE PEÇAS E SERVIÇOS LTDA,Rota 3 - São Lourenço,Quilombo,SC,Casa Dos Rolamentos
1288101,,,,,,10724,,AIRTON LUIS FANTIN 49248359949,Rota A - Oeste,Seara,SC,Ditrator
311001,10021,1095,,,,10104,,ALCINDO ALFREDO BAUERMANN ME,Rota 3 - São Lourenço,Campo Erê,SC,Ditrator - Casa Dos Rolamentos - Romar Mann
,10022,,,,,10807,,ALCIONE BAUMBACH,Rota 2 - São Miguel,Pinhalzinho,SC,Casa Dos Rolamentos
,10023,,,,,10137,,ALDERICO KLEIMPAUL,Rota A - Oeste,Xanxerê,SC,Casa Dos Rolamentos - Primus - Ditrator
278501,,,,,,11007,,ALECSANDER DE CAMPOS,Rota 5 - Parana 2,Palmas,PR,Ditrator
598701,10024,,1941,,,10095,,ALEMAO AGRODIESEL LTDA ME,Rota 2 - São Miguel,Maravilha,SC,Ditrator - Casa Dos Rolamentos - Indagril
983301,,,,,,10468,,ALEX SANDRO PANCERA DOS SANTOS,Rota 0 - Chapecó,Chapecó,SC,Ditrator
431801,,,,,,10559,,ALEXANDRE BERTAN,Rota 3 - São Lourenço,Coronel Martins,SC,Ditrator
1468001,,,,,,10769,,ALINE CRISTIANE ZASNIESKI DINIZ EIRELI,Rota A - Oeste,Vargem Bonita,SC,Ditrator
,10025,,,,,10852,,ALL INDUSTRIA E COMERCIO DE SUPRIMENTOS INDUSTRIAIS LTDA - Otacílio Costa,Rota B - Litoral Norte,Otacílio Costa,SC,Casa Dos Rolamentos
942101,,,,,,10462,,ALLIKON EQUIPAMENTOS AGRICOLAS LTDA - ME,Rota 4 - Parana 1,Pranchita,PR,Ditrator
455701,,,,,,10568,,ALMEDI COMERCIO DE APARELHOS MEDICOS E ODONTOLOGICOS LTDA,Rota 5 - Parana 2,Pato Branco,PR,Ditrator
1495601,,,,,,11732,,ALMEIDA INJECAO DIESEL LTDA,Rota 2 - São Miguel,Maravilha,SC,Ditrator
19401,,,,,,10396,,ALMEIDA PECAS E MAQUINAS EIRELI,Rota 2 - São Miguel,Cunha Porã,SC,Ditrator
,10026,,,,,10914,,ALMIR FRITZEN 05410349954,Rota 1 - Itapiranga,Iporã Do Oeste,SC,Casa Dos Rolamentos
372201,,,,,,10383,,ALTEMIR LUIZ DAL CORTIVO,Rota 4 - Parana 1,Salto Do Lontra,PR,Ditrator
428901,,,,,,10641,,ALTIR SEGHETTO,Rota A - Oeste,Ipumirim,SC,Ditrator
1261901,,,,,,10707,,ALYSON ELIAS DANIEL 08970323902,Rota 3 - São Lourenço,União Do Oeste,SC,Ditrator
,10027,,,,,10901,,AMS PECAS E SERVICOS LTDA,Rota D - Paraná,Timbó Grande,SC,Casa Dos Rolamentos
,10028,,,,,10061,,ANCACEL COMERCIO E SERVICOS LTDA ME,Rota C - Litoral Sul,Joaçaba,SC,Casa Dos Rolamentos
1101801,,,,,,10626,,ANDERSON SCHEIBLE,Rota 4 - Parana 1,Guarujá Do Sul,SC,Ditrator
1236601,,,,,,10699,,ANDRIELI ROGGIA 01242795979,Rota 2 - São Miguel,São Miguel do Oeste,SC,Ditrator
352701,,,,,,10554,,ANGELA MARIA PAULINI TRANSPORTES EIRELI,Rota 0 - Chapecó,Chapecó,SC,Ditrator
134801,10029,,,,,10040,,ANTUNES E TAMAGNO LTDA,Rota 5 - Parana 2,Chopinzinho,PR,Ditrator - Casa Dos Rolamentos - Romar Mann
,,861,3283,,,10226,,ARATERRA COMERCIO DE PECAS AGRICOLAS LTDA - EPP,Rota C - Litoral Sul,Araranguá,SC,Romar Mann - Indagril - Casa Dos Rolamentos - Primus
520701,,,,,,10483,,ARIEL YURI SGARBOSSA LOTTI,Rota A - Oeste,Concórdia,SC,Ditrator
744401,,,,,,10498,,ASSEMAQ EQUIPAMENTOS LTDA,Rota 0 - Chapecó,Chapecó,SC,Ditrator
1033301,,,,,,10602,,ASSOCIACAO DE MORADORES DE AGRICULTORES,Rota A - Oeste,Concórdia,SC,Ditrator
837501,,,,,,10592,,ASSOCIACAO DE MORADORES DE ENGENHO VELHO,Rota A - Oeste,Concórdia,SC,Ditrator
696701,,,,,,10977,,ASTRISI E SARTOR MECANICA AGRICOLA LTDA,Rota 5 - Parana 2,Mangueirinha,PR,Ditrator
33203,,,,,,11758,,AUGUSTIN E CIA LTDA,Rota 5 - Parana 2,Mangueirinha,PR,
,,,,,,11036,,AURELIO LIMA DOS ANJOS ME,Rota C - Litoral Sul,Campo Belo do Sul,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
31601,10030,,,,,10121,,AUTO AGRICOLA OESTE LTDA,Rota 1 - Itapiranga,Palmitos,SC,Ditrator - Casa Dos Rolamentos
,,,,,,11024,,AUTO CENTER E ELETRICA REHBEIN,Rota 1 - Itapiranga,Palmitos,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,10031,,,,,10888,,AUTO CENTER E ELETRICA REHBEIN LTDA,Rota 1 - Itapiranga,Itapiranga,SC,Casa Dos Rolamentos
950001,,,,,,10493,,AUTO CENTER E MECANICA GASSEN LTDA,Rota 2 - São Miguel,Cunha Porã,SC,Ditrator
1476601,,,,,,10982,,AUTO DIESEL MECANICA E TRANSPORTES LTDA,Rota A - Oeste,Seara,SC,Ditrator
1040201,,,,,,10605,,AUTO ELETRICA ZARDO LTDA,Rota 3 - São Lourenço,Quilombo,SC,Ditrator
1424201,,,,,,10744,,AUTO MECANICA BRUGALLI LTDA,Rota 3 - São Lourenço,Coronel Freitas,SC,Ditrator
,10032,,,,,10916,,AUTO MECANICA ITAENSE LTDA,Rota A - Oeste,Itá,SC,Casa Dos Rolamentos
154101,,,,,,10376,,AUTO MECANICA REALEZA LTDA,Rota 4 - Parana 1,Realeza,PR,Ditrator
1308801,,,,,,10736,,AUTO PECAS ITABERABA LTDA,Rota 2 - São Miguel,São Miguel do Oeste,SC,Ditrator
169401,,,,,,10520,,AUTO PROGRESSO LTDA,Rota A - Oeste,Ipumirim,SC,Ditrator
1266201,,,,,,10710,,AUTO SHOPING COMERCIO DE PECAS EIRELI,Rota 0 - Chapecó,Chapecó,SC,Ditrator
,,,,,,11040,,AUTOMATIC IND. E COM. DE EQUIPAMENTOS ELETRICOS - Luzerna,Rota C - Litoral Sul,Luzerna,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,10033,,,,,10877,,AUTOMATIC IND. E COM. DE EQUIPAMENTOS ELETRICOS LTDA - Catanduvas,Rota A - Oeste,Catanduvas,SC,Casa Dos Rolamentos
,10034,,,,,10135,,AVANTPAR COMERCIO DE PARAFUSOS E PECAS LTDA - ME,Rota 2 - São Miguel,São Miguel do Oeste,SC,Casa Dos Rolamentos
,,,,,,11042,,AVESUI MAQ E EQUIP AGRICOLAS,Rota A - Oeste,Água Doce,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,10035,,,,,10119,,AVIBRASIL IND COM EQUIP AVIC LTDA,Rota 2 - São Miguel,Cunha Porã,SC,Casa Dos Rolamentos
,10036,1836,,,,10246,,AXIS DO BRASIL INDUSTRIA E COMERCIO DE IMPLEMENTOS AGRICOLAS,Rota C - Litoral Sul,Campos Novos,SC,Casa Dos Rolamentos - Romar Mann
,,,,,,11580,,Adocyr Brocardo - Stihl - Erval Velho,Rota C - Litoral Sul,Erval Velho,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11291,,Agostini Industrial,Rota 2 - São Miguel,São Miguel do Oeste,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11390,,Agp Pneus,Rota C - Litoral Sul,São José do Cerrito,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11289,,Agricola Bianchi,Rota 2 - São Miguel,São Miguel do Oeste,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11695,,Agrimaq - Stara - Araucaria,Rota D - Paraná,Araucária,PR,Casa Dos Rolamentos - Agromann
,,,,,,11680,,Agrimaq - Stara - Irati,Rota D - Paraná,Irati,PR,Casa Dos Rolamentos - Agromann
,,,,,,11692,,Agrimaq - Stara - Lapa,Rota D - Paraná,Lapa,PR,Casa Dos Rolamentos - Agromann
,,,,,,11345,,Agrinorte - Presidente Getulio,Rota B - Litoral Norte,Presidente Getúlio,SC,Casa Dos Rolamentos - Agromann
,,,,,,11617,,Agrinorte - Taio,Rota B - Litoral Norte,Taió,SC,Casa Dos Rolamentos - Agromann
,,,,,,11461,,Agriservice,Rota 5 - Parana 2,Dois Vizinhos,PR,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11604,,Agro Frann,Rota C - Litoral Sul,Meleiro,SC,Casa Dos Rolamentos
,,,,,,11590,,Agro Maquinas Garuva,Rota B - Litoral Norte,Garuva,SC,Casa Dos Rolamentos - Romar Mann - Indagril - Primus
,,,,,,11374,,Agro Maquinas Luzerna,Rota C - Litoral Sul,Luzerna,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11614,,Agro Safra,Rota B - Litoral Norte,Rio do Oeste,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11702,,Agro Terra Viva,Rota D - Paraná,Mafra,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11443,,Agro Ts,Rota C - Litoral Sul,Içara,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11565,,Agrocampo,Rota D - Paraná,Irineópolis,SC,Casa Dos Rolamentos - Primus - Agromann
,,,,,,11467,,Agroinova,,Toledo,PR,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11349,,Agropecuaria Bressler,Rota 1 - Itapiranga,São João do Oeste,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11406,,Agropecuaria Grossl - Stihl - Rio Negrinho,Rota D - Paraná,Rio Negrinho,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,3205,,,11650,,Agroteck,Rota 3 - São Lourenço,Bom Jesus,SC,Indagril
,,,,,,11665,,Agrotratorseidel - Campo Alegre,Rota D - Paraná,Campo Alegre,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11666,,Agrotratorseidel - Pien,Rota D - Paraná,Piên,PR,Casa Dos Rolamentos - Agromann
,,,,,,11605,,Almeida Rolamentos,Rota C - Litoral Sul,Araranguá,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11331,,Alto Alegre,Rota 5 - Parana 2,Verê,PR,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11712,,Andrebel,Rota 4 - Parana 1,Francisco Beltrão,PR,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11219,,Aniela Auto Peças,Rota 1 - Itapiranga,São Carlos,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11560,,Antoniale Materiais Eletricos,Rota 5 - Parana 2,Chopinzinho,PR,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11176,,Armero Esquadrias E Tornearia,Rota 5 - Parana 2,Chopinzinho,PR,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11704,,Ascari Maquinas,Rota C - Litoral Sul,Orleans,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11645,,Augostin Massey,Rota 5 - Parana 2,Mangueirinha,PR,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11630,,Augustin - Massey Ferguson - União Da Vitória,Rota D - Paraná,União da Vitória,PR,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11270,,Auto Diesel Chapeco,Rota 0 - Chapecó,Chapecó,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11234,,Auto Mecanica Do Rudi,Rota A - Oeste,Passos Maia,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11224,,Auto Peças Anghinoni,Rota 3 - São Lourenço,São Domingos,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11653,,Auto Peças Iguaçu Acorsi Monteneso,Rota 5 - Parana 2,Chopinzinho,PR,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11180,,Auto Peças N Morelo & Cia,Rota 5 - Parana 2,Dois Vizinhos,PR,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11321,,Autoserv Mecanica Do Serginho,Rota A - Oeste,Jaborá,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11538,,Azfer,Rota 4 - Parana 1,Francisco Beltrão,PR,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
451201,,,,,,10471,,B L MAQUINAS AGRICOLAS LTDA ME,Rota 3 - São Lourenço,São Lourenço do Oeste,SC,Ditrator
76602,,4826,,,,11733,,BAPTISTA E SHIBATA LTDA,Rota 3 - São Lourenço,Abelardo Luz,SC,Ditrator
,10037,,,,,10896,,BARETA MAZIERO & CIA LTDA,Rota A - Oeste,Ouro,SC,Casa Dos Rolamentos
,10038,,,,,10797,,BATERIAS PIONEIRO INDUSTRIAL LTDA - Treze Tilias,Rota C - Litoral Sul,Treze Tílias,SC,Casa Dos Rolamentos
,10039,2016,3627,,,10202,,BBR - COMERCIO DE TRATORES LTDA - EPP,Rota A - Oeste,Curitibanos,SC,Casa Dos Rolamentos - Romar Mann - Indagril
,,,,,,11043,,BE AGRO COMERCIO DE MAQUINAS E EQUIPAMENTOS AGRICOLAS - Videira,Rota A - Oeste,Videira,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,10040,4156,1921,,,10053,,BECKER TRATORES E IMPLEMENTOS EIRELI - Agronomica,Rota B - Litoral Norte,Agronômica,SC,Casa Dos Rolamentos - Romar Mann - Indagril
,10041,,,,,10956,,BECKERT TRATORES LTDA - Caçador,Rota A - Oeste,Caçador,SC,Casa Dos Rolamentos
,,2900,,,,10263,,BERGAMIN & PAVANI LTDA - ME,Rota D - Paraná,Mallet,PR,Romar Mann
1286301,,,,,,10722,,BEVILAQUA CONSTRUTORA E MATERIAL DE CONSTRUCOES LTDA,Rota 3 - São Lourenço,Novo Horizonte,SC,Ditrator
,,,1453,,,10301,,BFT BURZONI DO BRASIL COM DE F,Rota C - Litoral Sul,Criciúma,SC,Indagril
69801,,,,,,10513,,BIANCHI E FILHOS LTDA,Rota 5 - Parana 2,Pato Branco,PR,Ditrator
